sep=,
"Time","CompleteJob (INTERNAL)","CompleteJob (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","FailJob (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-10 11:39:00,,0.700,5.10,28.8,0.400,0,0,0,,,35
2024-02-10 11:39:10,,0,6.70,48.1,0,0,0,0,,,54.8
2024-02-10 11:39:20,,0,4.90,40.7,0,0,0,0,,,45.6
2024-02-10 11:39:30,,0.700,4.90,24,0,0,0,0,,,29.6
2024-02-10 11:39:40,,0,6.40,24.9,0,0,0,0,,,31.3
2024-02-10 11:39:50,,0,4.40,23.9,0,0,0,0,,,28.3
2024-02-10 11:40:00,,0,4,24.8,0,0,0,0,,,28.8
2024-02-10 11:40:10,,0,4.10,25.6,0,0,0,0,,,29.7
2024-02-10 11:40:20,,0,3.80,20.8,0,0,0,0,,,24.6
2024-02-10 11:40:30,,0,0,0,0,0,0,0,,,0
2024-02-10 11:40:40,,0,0,0,0,0,0,0,,,0
2024-02-10 11:40:50,,0,0,0,0,0,0,0,,,0
2024-02-10 11:41:00,,0,0,0,0,0,0,0,,,0
2024-02-10 11:41:10,,0,5.70,25.5,0.400,0,0,0,,,31.6
2024-02-10 11:41:20,,0,4.40,23.3,0,0,0,0,,,27.7
2024-02-10 11:41:30,,0,3.80,25.6,0,0,0,0,,,29.4
2024-02-10 11:41:40,,0,2.70,22.4,0,0,0,0,,,25.1
2024-02-10 11:41:50,,0,2.20,25.6,0,0,0,0,,,27.8
2024-02-10 11:42:00,,0.200,4.10,22.6,0,0,0,0,,,26.9
2024-02-10 11:42:10,,0,9,47.9,0.400,0,0,0,,,57.3
2024-02-10 11:42:20,,0,8.70,47.1,0,0,0,0,,,55.8
2024-02-10 11:42:30,,0,4.90,26.4,0,0,0,0,,,31.3
2024-02-10 11:42:40,,0,4.40,23.2,0,0,0,0,,,27.6
2024-02-10 11:42:50,,0,4.80,25.6,0,0,0,0,,,30.4
2024-02-10 11:43:00,,0,3.50,22.4,0,0,0,0,,,25.9
2024-02-10 11:43:10,,0,3.80,24,0,0,0,0,,,27.8
2024-02-10 11:43:20,,0,4.80,24.1,0,0,0,0,,,28.9
2024-02-10 11:43:30,,0,0.900,4.70,0,0,0,0,,,5.60
2024-02-10 11:43:40,,0,0,0,0,0,0,0,,,0
2024-02-10 11:43:50,,0,0,0,0,0,0,0,,,0
2024-02-10 11:44:00,,0,0,0,0,0,0,0,,,0
