sep=,
"Time","restworkerjava-586c6d968c-rnl6d / worker / PKG","restworkerjava-6645c55fc5-nrl9d / worker / PKG","restworkerjava-6c74555757-v7cqd / worker / PKG","restworkerjava-84544b4f5-dcldx / worker / PKG","restworkerjava-586c6d968c-rnl6d / worker / DRAM","restworkerjava-6645c55fc5-nrl9d / worker / DRAM","restworkerjava-6c74555757-v7cqd / worker / DRAM","restworkerjava-84544b4f5-dcldx / worker / DRAM","restworkerjava-586c6d968c-rnl6d / worker / OTHER","restworkerjava-6645c55fc5-nrl9d / worker / OTHER","restworkerjava-6c74555757-v7cqd / worker / OTHER","restworkerjava-84544b4f5-dcldx / worker / OTHER"
2024-02-16 12:13:40,,0.368,,,,0.0294,,,,0,,
2024-02-16 12:13:50,,0.491,,,,0.0387,,,,0,,
2024-02-16 12:14:00,,0.288,,,,0.0300,,,,0,,
2024-02-16 12:14:10,,0.339,,,,0.0315,,,,0,,
2024-02-16 12:14:20,,0.463,,,,0.0393,,,,0,,
2024-02-16 12:14:30,,0.364,,,,0.0297,,,,0,,
2024-02-16 12:14:40,,0.314,,,,0.0288,,,,0,,
2024-02-16 12:14:50,,0.465,,,,0.0387,,,,0,,
2024-02-16 12:15:00,,0.359,,,,0.0297,,,,0,,
2024-02-16 12:15:10,,0.295,,,,0.0294,,,,0,,
2024-02-16 12:15:20,,0.422,,,,0.0378,,,,0,,
2024-02-16 12:15:30,,0.352,,,,0.0312,,,,0,,
2024-02-16 12:15:40,,0.348,,,,0.0327,,,,0,,
2024-02-16 12:15:50,,0.475,,,,0.0372,,,,0,,
2024-02-16 12:16:00,,0.230,,,,0.0204,,,,0,,
2024-02-16 12:16:10,,0.311,,,,0.0315,,,,0,,
2024-02-16 12:16:20,,0.443,,,,0.0381,,,,0,,
2024-02-16 12:16:30,,0.332,,,,0.0315,,,,0,,
2024-02-16 12:16:40,,0.335,,,,0.0279,,,,0,,
2024-02-16 12:16:50,,0.478,,,,0.0411,,,,0,,
2024-02-16 12:17:00,,0.328,,,,0.0288,,,,0,,
2024-02-16 12:17:10,,0.346,,,,0.0294,,,,0,,
2024-02-16 12:17:20,,0.478,,,,0.0399,,,,0,,
2024-02-16 12:17:30,,0.321,,,,0.0261,,,,0,,
2024-02-16 12:17:40,,0.345,,,,0.0237,,,,0,,
2024-02-16 12:17:50,,0.446,,,,0.0330,,,,0,,
2024-02-16 12:18:00,,0.348,,,,0.0222,,,,0,,
2024-02-16 12:18:10,,0.269,,,,0.0222,,,,0,,
2024-02-16 12:18:20,,0.449,,,,0.0294,,,,0,,
2024-02-16 12:18:30,,0.362,,,,0.0237,,,,0,,
2024-02-16 12:18:40,,0.352,,,,0.0219,,,,0,,
2024-02-16 12:18:50,,0.646,,,,0.0297,,,,0,,
2024-02-16 12:19:00,,0.360,,,,0.0228,,,,0,,
2024-02-16 12:19:10,,0.329,,,,0.0225,,,,0,,
2024-02-16 12:19:20,,0.456,,,,0.0303,,,,0,,
2024-02-16 12:19:30,,0.385,,,,0.0225,,,,0,,
2024-02-16 12:19:40,,0.368,,,,0.0231,,,,0,,
2024-02-16 12:19:50,,0.473,,,,0.0321,,,,0,,
2024-02-16 12:20:00,,0.341,,,,0.0231,,,,0,,
2024-02-16 12:20:10,,0.240,,,,0.0213,,,,0,,
2024-02-16 12:20:20,,0.459,,,,0.0318,,,,0,,
2024-02-16 12:20:30,,0.364,,,,0.0231,,,,0,,
2024-02-16 12:20:40,,0.353,,,,0.0222,,,,0,,
2024-02-16 12:20:50,,0.472,,,,0.0297,,,,0,,
2024-02-16 12:21:00,,0.343,,,,0.0222,,,,0,,
2024-02-16 12:21:10,,0.332,,,,0.0219,,,,0,,
2024-02-16 12:21:20,,0.452,,,,0.0291,,,,0,,
2024-02-16 12:21:30,,0.348,,,,0.0222,,,,0,,
2024-02-16 12:21:40,,0.328,,,,0.0225,,,,0,,
2024-02-16 12:21:50,,0.449,,,,0.0321,,,,0,,
